DestinationId;RegionId;AirportName
6058855;6058855;El Paso International Airport (ELP), Texas, United States of America
6058882;6058882;Bristol International Airport (BRS), England, United Kingdom
6059086;6059086;Austin-Bergstrom International Airport (AUS), Texas, United States of America
6059131;6059131;Houston William Hobby Airport (HOU), Texas, United States of America
6059146;6059146;Love Field Airport (DAL), Texas, United States of America
6059193;6059193;Gerald R. Ford International Airport (GRR), Michigan, United States of America
6059249;6059249;Detroit Metropolitan Airport (DTW), Michigan, United States of America
6059326;6059326;Chicago Midway Airport (MDW), Illinois, United States of America
6059436;6059436;Memphis International Airport (MEM), Tennessee, United States of America
6059481;6059481;Cleveland Hopkins International Airport (CLE), Ohio, United States of America
6059505;6059505;Port Columbus International Airport (CMH), Ohio, United States of America
6059518;6059518;Cincinnati-Northern Kentucky Int'l Airport (CVG), Kentucky, United States of America
6059533;6059533;Sioux Falls Regional Airport (FSD), South Dakota, United States of America
6059558;6059558;Louisville International Airport (SDF), Kentucky, United States of America
6059655;6059655;General Mitchell International Airport (MKE), Wisconsin, United States of America
6059743;6059743;Nashville International Airport (BNA), Tennessee, United States of America
6059851;6059851;Alcoa - Knoxville Airport (TYS), Tennessee, United States of America
6059892;6059892;Indianapolis International Airport (IND), Indiana, United States of America
6059905;6059905;Dane County Regional Airport (MSN), Wisconsin, United States of America
6060025;6060025;Des Moines International Airport (DSM), Iowa, United States of America
6062934;6062934;Jacksonville International Airport (JAX), Florida, United States of America
6064268;6064268;Baiyun International Airport (CAN), China
6069778;6069778;Naples International Airport (NAP), Italy
6094986;6094986;Kuala Lumpur International Airport (KUL), Malaysia
6125781;6125781;Indira Gandhi International Airport (DEL), India
6126814;6126814;Cochin International Airport (COK), Cochin, India
6126959;6126959;Chennai International Airport (MAA), India
6129240;6129240;Ted Stevens Anchorage International Airport (ANC), Alaska, United States of America
6131325;6131325;Darwin International Airport (DRW), Northern Territory, Australia
6135242;6135242;Perth Airport (PER), Western Australia, Australia
6135250;6135250;Marco Polo Airport (VCE), Italy
6140863;6140863;Tianjin Binhai International Airport (TSN), China
6142147;6142147;Senai International Airport (JHB), Malaysia
6147559;6147559;Schoenefeld Airport (SXF), Germany
6148465;6148465;Bologna Airport (BLQ), Italy
6176830;6176830;Dabolim Airport (GOI), India
6178036;6178036;Taoyuan International Airport (TPE), Taiwan
6178322;6178322;Bergamo Orio al Serio Airport (BGY), Italy
6180969;6180969;Lyon Saint-Exupery Airport (LYS), Lyon, France
6185820;6185820;Cristoforo Colombo Airport (GOA), Italy
6189280;6189280;Porto Alegre Airport (POA), Brazil
6193630;6193630;Nice Airport (NCE), Nice, France
6196765;6196765;Valerio Catullo Airport (VRN), Italy
6223075;6223075;Montpellier Airport (MPL), France
6223667;6223667;Sabiha Gokcen International Airport (SAW), Turkey
6267867;6267867;Buffalo Niagara International Airport (BUF), New York, United States of America
6267877;6267877;Greater Rochester International Airport (ROC), New York, United States of America
6270701;6270701;Pisa Airport (PSA), Italy
6284909;6284909;Catania Fontanarossa Airport (CTA), Italy
6288359;6288359;El Dorado Airport (BOG), Colombia
